(42215841, 0, 0, 0.0, 0.0)
(42218253, 255, 255, 1.2195122241973877, 1.2195122241973877)
(42223579, 255, 255, 1.2804877758026123, 1.2804877758026123)
(42225731, 255, 255, -0.24390244483947754, -0.24390244483947754)
(42335275, 35, 35, 287.31707763671875, 287.31707763671875)
(42337447, 16, 16, 297.3780517578125, 297.3780517578125)
(42391448, 176, 176, 210.48780822753906, 210.48780822753906)
(42393612, 77, 77, 265.7926940917969, 265.7926940917969)
(42428353, 104, 104, 251.5853729248047, 251.5853729248047)
(42430528, 140, 140, 231.76829528808594, 231.76829528808594)
(42484512, 84, 84, 265.0, 265.0)
(42486689, 81, 81, 266.8902587890625, 266.8902587890625)
(42540709, 78, 78, 269.3292541503906, 269.3292541503906)
(42542874, 112, 112, 250.7926788330078, 250.7926788330078)
(42596837, 113, 113, 252.743896484375, 252.743896484375)
(42599002, 167, 167, 222.9268341064453, 222.9268341064453)
(42633757, 107, 107, 256.8292541503906, 256.8292541503906)
(42635938, 132, 132, 243.0487823486328, 243.0487823486328)
(42689921, 255, 255, 162.743896484375, 162.743896484375)
(42692087, 211, 211, 200.6707305908203, 200.6707305908203)
(42728996, 130, 130, 246.7073211669922, 246.7073211669922)
(42731164, 142, 142, 240.243896484375, 240.243896484375)
(42765902, 129, 129, 248.1707305908203, 248.1707305908203)
(42768079, 128, 128, 248.71951293945312, 248.71951293945312)
(42822051, 133, 133, 247.3780517578125, 247.3780517578125)
(42824216, 194, 194, 213.35365295410156, 213.35365295410156)
(42858967, 90, 90, 272.01220703125, 272.01220703125)
(42861132, 61, 61, 288.2317199707031, 288.2317199707031)
(42895937, 255, 255, 161.15853881835938, 161.15853881835938)
(42898114, 255, 255, 167.0731658935547, 167.0731658935547)
(42935026, 153, 153, 239.69512939453125, 239.69512939453125)
(42937194, 177, 177, 226.8292694091797, 226.8292694091797)
(42991158, 51, 51, 297.01220703125, 297.01220703125)
(42993325, 84, 84, 278.5365905761719, 278.5365905761719)
(43047348, 110, 110, 264.8780517578125, 264.8780517578125)
(43049523, 220, 220, 204.26829528808594, 204.26829528808594)
(43084283, 95, 95, 273.5975646972656, 273.5975646972656)
(43086452, 94, 94, 274.3292541503906, 274.3292541503906)
(43121206, 102, 102, 270.6097412109375, 270.6097412109375)
(43123373, 97, 97, 273.1097412109375, 273.1097412109375)
(43177343, 124, 124, 260.0, 260.0)
(43179510, 4, 4, 331.4024353027344, 331.4024353027344)
(43233556, 123, 123, 260.8536682128906, 260.8536682128906)
(43235723, 195, 195, 221.09756469726562, 221.09756469726562)
(43270506, 51, 51, 301.2195129394531, 301.2195129394531)
(43272681, 34, 34, 310.6097412109375, 310.6097412109375)
(43309611, 225, 225, 205.4268341064453, 205.4268341064453)
(43311776, 160, 160, 241.34146118164062, 241.34146118164062)
(43346547, 205, 205, 218.2926788330078, 218.2926788330078)
(43348725, 255, 255, 163.59756469726562, 163.59756469726562)
(43402731, 72, 72, 293.04876708984375, 293.04876708984375)
(43404898, 40, 40, 310.48779296875, 310.48779296875)
(43439673, 71, 71, 293.4146423339844, 293.4146423339844)
(43441837, 98, 98, 278.4146423339844, 278.4146423339844)
(43478742, 172, 172, 237.80487060546875, 237.80487060546875)
(43480911, 173, 173, 237.19512939453125, 237.19512939453125)
(43532762, 168, 168, 241.40243530273438, 241.40243530273438)
(43534930, 116, 116, 270.06097412109375, 270.06097412109375)
(43571833, 187, 187, 231.8292694091797, 231.8292694091797)
(43574002, 173, 173, 239.26829528808594, 239.26829528808594)
(43627999, 142, 142, 257.68292236328125, 257.68292236328125)
(43630180, 150, 150, 253.23170471191406, 253.23170471191406)
(43703420, 26, 26, 323.5365905761719, 323.5365905761719)
(43705588, 113, 113, 275.30487060546875, 275.30487060546875)
(43815110, 59, 59, 307.56097412109375, 307.56097412109375)
(43817274, 36, 36, 319.8780517578125, 319.8780517578125)
(43871273, 90, 90, 291.2195129394531, 291.2195129394531)
(43873439, 125, 125, 271.4024353027344, 271.4024353027344)
(43908198, 132, 132, 268.4146423339844, 268.4146423339844)
(43910365, 41, 41, 318.7804870605469, 318.7804870605469)
(43945131, 45, 45, 316.3414611816406, 316.3414611816406)
(43947296, 36, 36, 321.2804870605469, 321.2804870605469)
(43982065, 217, 217, 221.21951293945312, 221.21951293945312)
(43984234, 197, 197, 232.80487060546875, 232.80487060546875)
(44057467, 208, 208, 227.98780822753906, 227.98780822753906)
(44059632, 189, 189, 238.59756469726562, 238.59756469726562)
(44094395, 74, 74, 302.5, 302.5)
(44096573, 195, 195, 235.6707305908203, 235.6707305908203)
(44133492, 169, 169, 250.5487823486328, 250.5487823486328)
(44135671, 170, 170, 250.1219482421875, 250.1219482421875)
(44170441, 171, 171, 250.6707305908203, 250.6707305908203)
(44172609, 172, 172, 250.18292236328125, 250.18292236328125)
(44226862, 58, 58, 313.8414611816406, 313.8414611816406)
(44229029, 65, 65, 309.756103515625, 309.756103515625)
(44263792, 18, 18, 336.5243835449219, 336.5243835449219)
(44265964, 126, 126, 276.2804870605469, 276.2804870605469)
(44375632, 218, 218, 226.9512176513672, 226.9512176513672)
(44377800, 170, 170, 253.78048706054688, 253.78048706054688)
(44414701, 83, 83, 302.19512939453125, 302.19512939453125)
(44416871, 154, 154, 262.68292236328125, 262.68292236328125)
(44468777, 30, 30, 332.01220703125, 332.01220703125)
(44470955, 60, 60, 315.18292236328125, 315.18292236328125)
(44524971, 166, 166, 257.07318115234375, 257.07318115234375)
(44527148, 156, 156, 262.56097412109375, 262.56097412109375)
(44581189, 103, 103, 292.5, 292.5)
