(106851178, 92, 60, -1.2804877758026123, 0.0004251219506841153, 937)
(106856433, 92, 60, -1.4634146690368652, 0.00896121934056282, 937)
(106858979, 86, 60, 2.1341464519500732, 0.0035383529029786587, 937)
(106906700, 99, 60, -3.9634146690368652, -0.2969017028808594, 933)
(106910497, 110, 60, -10.243902206420898, -0.2580568194389343, 933)
(106913030, 97, 60, -2.8658535480499268, -0.25078901648521423, 933)
(106955695, 98, 60, -2.7439024448394775, -0.36267727613449097, 943)
(106959455, 91, 60, 1.402438998222351, -0.3679588735103607, 943)
(106961996, 95, 60, -0.9146341681480408, -0.3656475841999054, 943)
(107004653, 86, 60, 5.0, -0.829764723777771, 953)
(107008435, 73, 60, 12.439023971557617, -0.8767593502998352, 953)
(107010974, 69, 60, 14.695121765136719, -0.9138792157173157, 953)
(107053635, 102, 60, -3.1097559928894043, -1.179598331451416, 968)
(107057410, 92, 60, 2.9268293380737305, -1.190609097480774, 968)
(107060518, 87, 60, 5.243902206420898, -1.2039128541946411, 983)
(107102597, 112, 60, -7.560975551605225, -1.61037278175354, 983)
(107106960, 122, 60, -13.231707572937012, -1.5605157613754272, 984)
(107109494, 108, 60, -5.304878234863281, -1.5439857244491577, 984)
(107149212, 67, 60, 18.35365867614746, -1.9382435083389282, 984)
(107153573, 82, 60, 9.756097793579102, -1.9750727415084839, 998)
(107156118, 95, 60, 2.987804889678955, -1.984358787536621, 998)
(107198747, 105, 60, -2.0731706619262695, -2.1565799713134766, 1003)
(107202512, 112, 60, -5.54878044128418, -2.132431745529175, 1003)
(107205053, 101, 60, 0.3048780560493469, -2.133201837539673, 1003)
(107247765, 103, 60, 0.12195122241973877, -2.145456075668335, 1006)
(107251550, 109, 60, -2.804877996444702, -2.134873390197754, 1006)
(107254079, 105, 60, -0.4878048896789551, -2.133636236190796, 1006)
(107296715, 110, 60, -2.5, -2.119570732116699, 1009)
(107300510, 100, 60, 3.0487804412841797, -2.1311378479003906, 1009)
(107303040, 104, 60, 0.9146341681480408, -2.1334564685821533, 1009)
(107345697, 109, 60, -1.0365853309631348, -2.136883497238159, 1004)
(107349484, 113, 60, -2.804877996444702, -2.1263091564178467, 1004)
(107352023, 104, 60, 2.1341464519500732, -2.131725549697876, 1004)
(107394671, 113, 60, -1.8292683362960815, -2.1343038082122803, 998)
(107398448, 107, 60, 1.2195122241973877, -2.1389000415802, 998)
(107400981, 115, 60, -2.804877996444702, -2.1317784786224365, 998)
(107441110, 112, 60, -0.4268292784690857, -2.113144636154175, 1006)
(107444894, 112, 60, -0.3048780560493469, -2.1119933128356934, 1006)
(107447426, 113, 60, -0.5487805008888245, -2.1105988025665283, 1006)
(107490410, 116, 60, -1.3414634466171265, -2.1048455238342285, 1005)
(107494193, 115, 60, -0.6707317233085632, -2.1023175716400146, 1005)
(107496725, 121, 60, -3.841463327407837, -2.0925755500793457, 1005)
(107539374, 117, 60, -1.1585365533828735, -2.1220993995666504, 1006)
(107543157, 116, 60, -0.18292683362960815, -2.1214098930358887, 1006)
(107545688, 111, 60, 2.378048896789551, -2.1274430751800537, 1006)
(107588346, 112, 60, 3.0487804412841797, -2.155005931854248, 1007)
(107592130, 118, 60, -0.24390244483947754, -2.1540844440460205, 1007)
(107594671, 113, 60, 2.682926893234253, -2.1608855724334717, 1007)
(107637267, 114, 60, 2.621951103210449, -2.1694655418395996, 1012)
(107641051, 117, 60, 1.097561001777649, -2.173609972000122, 1012)
(107643594, 113, 60, 3.2926828861236572, -2.1819207668304443, 1012)
(107686287, 104, 60, 9.57317066192627, -2.309903383255005, 1009)
(107690048, 102, 60, 10.365853309631348, -2.3490138053894043, 1009)
(107692589, 93, 60, 15.792682647705078, -2.3888745307922363, 1009)
(107732895, 98, 60, 13.292682647705078, -2.9567484855651855, 1009)
(107736668, 88, 60, 19.329267501831055, -3.029561758041382, 1009)
(107739786, 96, 60, 14.756097793579102, -3.066879987716675, 1022)
(107781900, 121, 60, 1.6463414430618286, -3.574547052383423, 1022)
(107786257, 104, 60, 11.09756088256836, -3.6164402961730957, 1045)
(107788788, 94, 60, 16.829267501831055, -3.6688129901885986, 1045)
(107831507, 104, 60, 11.829268455505371, -4.268989086151123, 1056)
(107835283, 105, 60, 11.158536911010742, -4.317461967468262, 1056)
(107837812, 105, 60, 11.219511985778809, -4.345925807952881, 1056)
(107880476, 104, 60, 12.92682933807373, -4.788582801818848, 1065)
(107884241, 86, 60, 22.439023971557617, -4.873133182525635, 1065)
(107886783, 100, 60, 15.060976028442383, -4.911192417144775, 1065)
(107929470, 105, 60, 13.170731544494629, -5.404420375823975, 1082)
(107933237, 88, 60, 22.317073822021484, -5.488577842712402, 1082)
(107935777, 81, 60, 26.524391174316406, -5.555657863616943, 1082)
(107978433, 109, 60, 11.52439022064209, -6.339426040649414, 1098)
(107982210, 126, 60, 1.8292683362960815, -6.346322536468506, 1098)
(107984743, 132, 60, -1.2804877758026123, -6.343070030212402, 1098)
(108024873, 112, 60, 10.609756469726562, -6.904332160949707, 1121)
(108028637, 106, 60, 13.59756088256836, -6.955554008483887, 1121)
(108031167, 101, 60, 16.768293380737305, -6.997893810272217, 1121)
(108074141, 108, 60, 13.536585807800293, -7.79360818862915, 1121)
(108077904, 103, 60, 16.036584854125977, -7.854018211364746, 1121)
(108080445, 105, 60, 15.12195110321045, -7.892186164855957, 1121)
(108123074, 100, 60, 18.719512939453125, -8.610052108764648, 1126)
(108126843, 89, 60, 24.573171615600586, -8.702619552612305, 1126)
(108129390, 92, 60, 22.987804412841797, -8.760686874389648, 1126)
